feedGuid,itemGuid,title,artist,feedUrl,feedTitle,episodeId,feedId
"c76ef0a6-0181-5b9b-a4bc-dd85d4ed178b","fe393a12-8545-440d-b88b-64e6568936fc","A Sight To See Remix","Ryan Fonda","https://www.wavlake.com/feed/0934bb2d-210c-4988-8055-9cd54c9817f7","A Sight To See Remix","15573378264","6568971"
"08604071-83cc-5810-bec2-bea0f0cd0033","2b77f75d-7f9b-4d47-864b-ccf495d4b1f4","Honor You","Ben Doerfel","https://www.doerfelverse.com/feeds/ben-doerfel.xml","Ben Doerfel","33979796260","6604977"
"70b4915d-0c0b-5f7a-9980-82831d2a9ba2","b9471140-0674-4884-bbb5-39ce9c4a000f","All Apology (EP track)","Sara Jade","https://wavlake.com/feed/0a131404-899f-4a7d-a2f3-3dbb61622887","Sink or Swim (EP)","17721952323","6734165"
"52786c48-86b4-5fd9-b4fe-7b44dcc3e4ba","13468078-1a54-4b0e-92bc-2faea2999ae7","St. Joan","R.O. Shapiro","https://wavlake.com/feed/music/d3ee6d16-fc74-4661-a810-4059f745426d","St. Joan","22535444451","6909501"
"c8d77c9c-e661-5d79-8d5f-735cfe9a95b7","17249ca4-fc26-45bb-afa3-d86212c9b2f8","Bringing Em Down","Ryan Fonda","https://www.wavlake.com/feed/4a0dac66-22c0-49f9-9ec2-bcfdf4b4ef10","Bringing Em Down","15573000643","6564932"
"3074902b-b2dc-5877-bfc3-30f5df0fbe6a","c59c7ffe-3847-4d55-ac27-5a1c1fbe6140","Let Go (What's holding you back)","Middle Season","https://www.doerfelverse.com/feeds/middle-season-let-go.xml","Let Go (What's holding you back)","15600524147","6651863"
"2c5f77fe-25d9-5a2d-97ef-236718c627df","469fb1ea-6b9e-4df4-96d3-0b61e9b1b5ca","Calibrating Broadcast​.​.​.","Mellow Cassette","https://music.behindthesch3m3s.com/wp-content/uploads/Mellow Cassette/Radio_Brigade/radio_brigade.xml","Radio Brigade","24524846426","6952640"
"2c5f77fe-25d9-5a2d-97ef-236718c627df","c5071214-ba27-4327-ae0b-4769fc9cac06","Radio Brigade","Mellow Cassette","https://music.behindthesch3m3s.com/wp-content/uploads/Mellow Cassette/Radio_Brigade/radio_brigade.xml","Radio Brigade","24524846427","6952640"
"b9ee4d5d-77e7-56a4-a195-397ae28a3dfe","e92721f0-4291-4b50-a621-f658d875e640","Hello Stranger feat. Helen Tess","Charlie Crown","https://wavlake.com/feed/c5b7d7f5-bf48-41c7-b0cc-8139e300185e","Hello Stranger feat. Helen Tess","18262910063","6754545"
"beeeef0b-51e9-52ac-b8d7-9ed54d5be3b0","8ed4bcfe-a4f9-42a7-9529-d30c3d634656","A Chemical to Balance","Death by Lions","https://wavlake.com/feed/e9ae5762-130d-4a16-b8b2-98804cc1802e","The Sheer Magnitude Of it All","16063862260","6670333"
"08604071-83cc-5810-bec2-bea0f0cd0033","bb9c21e4-6c98-44b9-bf0b-125d244bd013","Emma Rose","Ben Doerfel","https://www.doerfelverse.com/feeds/ben-doerfel.xml","Ben Doerfel","34098709956","6604977"
"2b62ef49-fcff-523c-b81a-0a7dde2b0609","3aaaebf8-e10f-4058-82af-509b4a61689f","They Don't Know","The Doerfels","https://www.doerfelverse.com/feeds/music-from-the-doerfelverse.xml","Music From The Doerfel-Verse","20951492666","6642704"
"2b62ef49-fcff-523c-b81a-0a7dde2b0609","3b60e3d7-93c2-404e-8679-c541668fa121","Possible","The Doerfels","https://www.doerfelverse.com/feeds/music-from-the-doerfelverse.xml","Music From The Doerfel-Verse","24514971941","6642704"
"2b62ef49-fcff-523c-b81a-0a7dde2b0609","765a7360-3c4c-4df6-becb-121abe595f4d","What Love Is","The Doerfels","https://www.doerfelverse.com/feeds/music-from-the-doerfelverse.xml","Music From The Doerfel-Verse","33535170265","6642704"
"537df90e-0cc4-535b-84d0-dcb3ca87f1f8","33932ccc-c707-411b-b914-4e9a94ec7e89","Bad People","Nate Johnivan","https://wavlake.com/feed/music/d677db67-0310-4813-970e-e65927c689f1","Tinderbox","15565789001","6422170"
"d518a5ad-4df1-413e-a4a4-f2c7e146e650","7470d39e-6a8a-4356-9349-b9887d0970be","Hardware Store Lady","Fletcher and Blaney","https://hogstory.net/uploads/everything_is_lit_feed.xml","Everything Is Lit","15575208242","6587677"
"d577b6cd-8c41-548b-abba-60e1502a94df","https://justcast.com/shows/44721/audioposts/1246165","That's How It Goes","Robert Willey","https://feed.justcast.com/shows/true-blue/audioposts.rss","True Blue","7134620807","5208028"
"c1dc15c3-a6e6-577b-8b4e-a7eae58fd40b","https://justcast.com/shows/44808/audioposts/1248738","Out of the Blue","Robert Willey","https://feed.justcast.com/shows/peace-pieces/audioposts.rss","Peace Pieces","7382196771","5198344"
"70456036-6a9c-5165-8fa7-84352259d602","ba10024a-d040-4b31-b61d-ea1fca19387d","The Poet Barfly - Demo","Nate Johnivan","https://wavlake.com/feed/music/f6bbce4b-4d7a-42ba-9464-6a870b4a387e","The Poet Barfly - Demo","31817816293","7152550"
"121c26b0-33f8-5cb9-9e14-d706bd3f5db8","c2747138-3458-4a7d-b5be-7d2c637295bc","Kerouac","White Triangles","https://www.whitetriangles.com/rss.xml","White Triangles","32132471531","6609129"
"2b62ef49-fcff-523c-b81a-0a7dde2b0609","41339be2-3d61-4223-9641-3e7dd12be2b0","So Far Away","The Doerfels","https://www.doerfelverse.com/feeds/music-from-the-doerfelverse.xml","Music From The Doerfel-Verse","20951492671","6642704"
"bcd811d1-9fda-51d9-b2a6-9337f0131b66","ddc7dff4-121b-43ac-81b2-74c9ab618e59","I Do It Cuz It's Bad","Cole Hansen","https://wavlake.com/feed/music/82700713-4ecc-4fc1-94d9-2c0b765504eb","Vote For Love","20105599384","6831667"
"7a0735a7-c2d2-5e2c-ad5a-8586a62bfc93","3a5a784f-642f-41ab-b552-8c710415b8c6","Beer Run","Jessica Lynne Witty","https://www.wavlake.com/feed/b337bd2b-46c5-4bd0-a57f-f93bca81ebea","Take The Lead","15574850045","6583475"
"1ef2b1d6-c4c0-5ef5-b534-bfc025e4193e","46aa7bd5-4355-5e6c-976d-323a4dd7b7ab","Girls at Kroger","Luke Jenison","https://feeds.rssblue.com/girls-at-kroger","Girls at Kroger","29307670194","7055219"
"d3e9bb7a-3df8-5b7e-8f52-0b01decf2b66","360106a8-ddd8-4ee3-8bdf-2ef967b400ab","Midnight Comin'","Vertigo Kidd","https://www.wavlake.com/feed/733fe358-6754-4135-a640-d75bc704c85d","Cold Neon Blues","15565710637","6421029"
"2b62ef49-fcff-523c-b81a-0a7dde2b0609","7f2eb92d-289e-4408-ac6c-47fea5905dc1","If I Promise(Demo)","The Doerfels","https://www.doerfelverse.com/feeds/music-from-the-doerfelverse.xml","Music From The Doerfel-Verse","20951492662","6642704"
"94c8a0bf-f76e-5f8c-ba1d-c0c15a642271","b8c2544f-88ec-4cc2-a30f-98d3e4c25aea","Phatty The Grasshopper","The Doerfels","https://www.doerfelverse.com/feeds/phatty-the-grasshopper.xml","Phatty The Grasshopper","19222240526","6797653"
"babd1567-2803-5ede-9a19-302c2fbf9eae","a2bf5272-8811-4882-aa39-a730c290af4d","Railroad Tracks","Late Night Special","https://www.wavlake.com/feed/05b4cf50-f79b-4296-9f04-02c9223182c5","Halfway To Somwhere","15565790231","6422233"
"2ec344a8-d756-5f8f-bde1-8a034321f1cb","c341b8f3-28b7-43c2-baff-b59eb6d8de8b","Wonder Woman","Matt Johner","https://wavlake.com/feed/music/7c295d64-8b85-4b4f-be2c-72f3954fdcaa","Wonder Woman","31912163412","7154909"
"2b62ef49-fcff-523c-b81a-0a7dde2b0609","2f1fabc9-54c0-4e96-93d8-98737356b448","Now I Know","The Doerfels","https://www.doerfelverse.com/feeds/music-from-the-doerfelverse.xml","Music From The Doerfel-Verse","32662749312","6642704"
"87ef86af-9d75-5876-97f9-5ea46e6094f7","eab9f1bd-94da-4c3c-afa7-3b4bc0c50c70","What's Your New Love Like","The No Good Redwood Ramblers","https://www.wavlake.com/feed/26a5d908-afa5-418d-a076-dac457bd7fa3","Shoot From the Hip, Straight to the Heart","17600554516","6729847"
"a2d2e313-9cbd-5169-b89c-ab07b33ecc33","c2264e2b-a564-43d2-bf7e-5be6298e2ea2","Pay The Bills","HeyCitizen","https://files.heycitizen.xyz/Songs/Albums/The-Heycitizen-Experience/the heycitizen experience.xml","The Heycitizen Experience","32553900134","6650997"
"69c634ad-afea-5826-ad9a-8e1f06d6470b","584953af-7321-4bfe-882d-7cadd697e807","Feeling Bout You","Kurtisdrums","https://www.sirtjthewrathful.com/wp-content/uploads/2023/08/Kurtisdrums-V1.xml","Kurtisdrums","30911813741","6560977"
"f511794d-437f-5cbd-8fcd-c541652a7931","088c8c1b-4753-4bc6-9ae3-08bcbddb3aa1","Playing God","Opus","https://www.doerfelverse.com/artists/opus/opus/opus.xml","Opus","31346450344","7141355"
"028e9f67-e0fc-558f-b598-25f06179cea3","f6ee3774-c452-4e25-b8f4-c8330ff00f43","That's the Life","Theo Katzman","https://wavlake.com/feed/music/6f724ceb-0688-40d5-a93f-4d0b6ec1c797","Be the Wheel","30604410647","7114678"
"4ab3741a-4a10-5631-a026-a9d0eb62fe11","b24f24f6-6e49-4685-afc9-c9fa856a9f1e","Grow","The Doerfels","https://www.doerfelverse.com/feeds/your-chance.xml","Your Chance","30992374699","7131341"
"82235f8b-da8c-52a5-ba6b-1f11c199f526","e580458f-ee8d-4674-b851-2e271cc3ff8e","Let You Down","The Johner Boys","https://wavlake.com/feed/music/9e673dbf-0c6e-49f1-85fa-5b3bdd9b9f08","II","25018216113","6962881"
"2b62ef49-fcff-523c-b81a-0a7dde2b0609","26071e5e-74f4-4dd6-bb4f-19bfa259801f","Happy New Year(demo)","The Doerfels","https://www.doerfelverse.com/feeds/music-from-the-doerfelverse.xml","Music From The Doerfel-Verse","20951492649","6642704"
"6335b366-6a83-5df4-ba62-d356ede08d70","62767045-5cc0-4280-a552-145a56e6964a","Change Your Mind","Ainsley Costello","https://wavlake.com/feed/music/2cc8ce94-6b15-4426-8a6d-ed974d3258e5","Change Your Mind","28415868718","7029052"
"cb086537-5673-57a8-9c78-72542da2a7d4","9a29c9f0-649f-4ddd-8888-55ed84d7c2ab","That Duck","Sir Seat Sitter","https://music.behindthesch3m3s.com/wp-content/uploads/Sir Seat Sitter/that_duck.xml","That Duck","18609803143","6769013"
"e0658b29-1cd3-55b8-ac51-0997764ce334","32dd5103-548b-4b0a-ba56-13088637c1d5","Big Sciota","Generation Gap","https://www.doerfelverse.com/feeds/generation-gap.xml","Generation Gap","29726403424","7074495"
"6eef0b66-bb86-5d0c-b260-099bcc920b7c","bd305f20-3c55-47b1-9722-6d68aeeaede7","Sensitive Guy","Miles Fonda","https://www.doerfelverse.com/feeds/sensitive-guy.xml","Sensitive Guy","29277505057","7053881"
"545a3589-88e6-57c5-8448-bdc056cc3dfb","e7d7bf4f-811c-4644-9897-3f78cd2afa00","Secrets","Jordan Dedo","https://www.doerfelverse.com/artists/jordandedo/secrets-single.xml","Secrets - Single","29863899351","7080422"
"2b62ef49-fcff-523c-b81a-0a7dde2b0609","ae930ad6-5966-4033-b17f-b4e39519701d","Worth Fighting For","The Doerfels","https://www.doerfelverse.com/feeds/music-from-the-doerfelverse.xml","Music From The Doerfel-Verse","20951492652","6642704"
"5bb8f186-2460-54dc-911d-54f642e8adf6","f69cd5a5-2018-411b-afc1-00ab12142e83","You","CityBeach","https://www.sirtjthewrathful.com/wp-content/uploads/2023/08/CityBeach.xml","CityBeach","15573087569","6560745"
"5bb8f186-2460-54dc-911d-54f642e8adf6","3c506193-5247-41bf-9d5d-6d8c7571142c","Safe","CityBeach","https://www.sirtjthewrathful.com/wp-content/uploads/2023/08/CityBeach.xml","CityBeach","15573087570","6560745"
"66740bed-5dca-540f-98ff-0411593dab82","c660daaf-c499-4c36-af7c-f41171d9b612","Hallucinations","Victoria Fragoso","https://www.wavlake.com/feed/24449797-c9b7-4151-a31a-8b9a74b1dd86","Hallucinations","15574339381","6578496"
"ec20d4ed-76c2-50dc-b4d9-0ba407f8cd81","55e1640d-5de7-448f-94ec-7cc2797e245a","Ordinary","Tyson Froese","https://music.jimmyv4v.com/bands/tyson_froese/tyson_froese_collection/tyson_froese_collection-rss.xml","Tyson Froese - Songs","27986794568","6776902"
"2b62ef49-fcff-523c-b81a-0a7dde2b0609","eb69c0a1-c8b3-4898-8eef-af496d04a4e5","Maybe It's You","The Doerfels","https://www.doerfelverse.com/feeds/music-from-the-doerfelverse.xml","Music From The Doerfel-Verse","20951492658","6642704"
"2b62ef49-fcff-523c-b81a-0a7dde2b0609","caae8d61-bedd-40d9-ad57-8c86c1509020","Make It","The Doerfels","https://www.doerfelverse.com/feeds/music-from-the-doerfelverse.xml","Music From The Doerfel-Verse","29226577249","6642704"
"2b62ef49-fcff-523c-b81a-0a7dde2b0609","58c9b50a-6d5f-4dcd-90ae-e3a76a9d2c0e","Sing For You","The Doerfels","https://www.doerfelverse.com/feeds/music-from-the-doerfelverse.xml","Music From The Doerfel-Verse","20951492657","6642704"
"b84c3345-55db-54e0-ac41-4b1cc6f3df67","6941fa17-0b82-4acf-aba0-79bdb219c98f","Pour Over","CityBeach","https://www.doerfelverse.com/feeds/pour-over.xml","Pour Over","19631378254","6811872"
"bba99401-378c-5540-bf95-c456b3d4de26","804099cb-264f-42cc-8026-18f989c08f2b","So Far Away","The Doerfels","https://www.sirtjthewrathful.com/wp-content/uploads/2023/08/So-Far-Away.xml","So Far Away","15580771691","6567874"
"69c634ad-afea-5826-ad9a-8e1f06d6470b","3e3d88cd-d20e-4999-9239-70a8c762749b","Worthy Lofi","Kurtisdrums","https://www.sirtjthewrathful.com/wp-content/uploads/2023/08/Kurtisdrums-V1.xml","Kurtisdrums","18539322328","6560977"
"2b62ef49-fcff-523c-b81a-0a7dde2b0609","a58d266a-2421-4772-9ae9-83ebbeb80d79","Breakaway (demo)","The Doerfels","https://www.doerfelverse.com/feeds/music-from-the-doerfelverse.xml","Music From The Doerfel-Verse","20951492645","6642704"
"2b62ef49-fcff-523c-b81a-0a7dde2b0609","fedb7f31-c90a-4aca-9ab8-87db350af674","Thought It Was Real","The Doerfels","https://www.doerfelverse.com/feeds/music-from-the-doerfelverse.xml","Music From The Doerfel-Verse","20951492667","6642704"
"2b62ef49-fcff-523c-b81a-0a7dde2b0609","be4da809-a7d3-42fb-aec9-7050144bf814","Morning Love","The Doerfels","https://www.doerfelverse.com/feeds/music-from-the-doerfelverse.xml","Music From The Doerfel-Verse","20951492654","6642704"
"1e7ed1fa-0456-5860-9b34-825d1335d8f8","5334a806-1c60-481e-a978-7577ce988b56","SWEATS","CityBeach","https://www.sirtjthewrathful.com/wp-content/uploads/2023/08/Nostalgic.xml","Nostalgic","15573087115","6560821"
"d13eab76-a4c4-5e4b-a0fb-25ed1386bc51","58cf0bcf-bf66-46a1-8759-314def6d76e5","Possible","The Doerfels","https://www.doerfelverse.com/feeds/possible.xml","Possible","24076872504","6942961"